ID,PRODUCT,SLOGAN,DESCRIPTION
162,LAMME,pintalabios vibrador con lengua cosquilleante,"La felicidad se esconde en las pequeñas cosas y no se nos ocurre mejor frase para presentarte a LAMME.Este discreto pintalabios vibrador es ideal para llevarlo siempre en el bolso, o el neceser y no olvidarlo jamás en tus viajes de placer. Con sus 12,5cm LAMME no defrauda, con un único botón podrás controlar fácilmente sus 10 patrones e intensidades de vibración y te sorprenderá la potencia que esta pequeña bala vibradora es capaz de demostrar. Su vibración cosquilleante despertará tu placer y sentirás como crece la excitación mientras LAMME recorre tu anatomía.Y por si esto no fuese suficiente, nuestra pequeña joya guarda un maravilloso secreto: bajo su tapa esconde una potente y certera lengüita que está esperando a ser descubierta y lista para hacerte perder el control. Ya sea a solas o en compañía, podrás concentrar ese excitante cosquilleo justo en el punto que desees con la intensidad que te apetezca, las sensaciones se concentrarán en ese punto y serán tan intensas cuando la pases por tus pezones, tu clítoris o tu glande que te costará creer la grandeza de una lengua tan pequeña.Así que no lo dudes, este pintalabios vibrador es, sin duda, una experiencia completamente nueva y uno de esos juguetes que vienen a recordarnos que el tamaño no siempre importa."
163,Kit de 3 plugs anales realistas,,"Existen muchos dildos realistas en el mercado, pero pocos plugs anales como estos: tres plugs de tamaños diferentes que reproducen el glande y parte del tronco de un pene de verdad. Tendrás la sensación más parecida a una penetración real, ajustada al tamaño que necesitas en cada momento.¿Pequeño, mediano o grande? Escoge tu nivel de intensidad y ábrete al placer anal. Introdúcelos siempre con lubricante, como desliz de agua, y déjalos un rato en tu interior mientras te deleitas con otro tipo de prácticas sexuales. ¡Multiplicarás tus sensaciones!Al retirar un plug anal podrás disfrutar de la penetración con mayor facilidad, aunque pueden ser un complemento ideal a la masturbación en un momento de onanismo en solitario. No solo están pensados para dilatar, sino que pueden dar mucho más juego. ¡Deja volar tu imaginación!El kit de plugs anales Jason C está fabricado en TPE libre de ftalatos. Su tacto es muy suave y flexible y están diseñados para garantizar una penetración anal totalmente segura (recuerda que todos los juguetes anales deben tener un tope de seguridad).¿A qué esperas para hacerte con ellos?"
164,Varilla de caricias eróticas con pluma,,"Dedicarse un tiempo a tocarse por todo el cuerpo puede proporcionar mayor excitación a los amantes, todo nuestro cuerpo es capaz de producir sensaciones eróticas intensas. Además acariciar aporta placer al descubrir el cuerpo de la otra persona, sus formas, su temperatura, su textura y la reacción que le producen nuestras caricias.    Gracias a esta varilla de caricias eróticas con pluma, puedes tener todo el control sobre la piel de la persona que recibe el sutil masaje sexual, hasta hacerla derretir... Te recomendamos combinar este juego con un kit inmovilizador como el Átame Fácil y un antifaz para un efecto multiplicador de sensaciones. Dimensiones: 40cm"
165,Barra de bondage de amantis,,"Un sinfín de posturas y nuevas formas de retener a tu amante, de posicionar su cuerpo entregado como os gusta y de poder desplazar, orientar, agitar o zarandear su cuerpecito a placer, creando situaciones antes in-imaginadas y experiencias frenéticas de intimidad heroica que quedarán en el imaginario de todas aquellas parejas que se dejen atrapar a la barra de bondage de amantis. Una barra unisex, semi rigida irrompible con cuatro enganches con velcro para manos y tobillos que abrazarán perfectamente hasta un máximo de 28cm de circunferencia. Ahora disponible en dos tamaños, la original de 42cm de longitud y una extra grande de 63cm para experiencias de apertura más extremas o para personitas más corpulentas.Estimula todos tus sentidos, dale una vuelta a tu vida sexual, desarrolla posturas antes imposibles y practica el entretenimiento más sano hasta ahora conocido, siempre con amantis ;)Los zapatos y lencería de las imágenes no están incluidos."
166,CARAMEL,Dildo de vidrio,"CARAMEL de la nueva colección de dildos de vidrio soplado de amantis estimula todos tus sentidos, también el de la vista, aunque no se trata del más importante. Este modelo en concreto es esbelto y elegante, con una espiral en relieve y un cabezal redondeado y más grueso que el resto del cuerpo.Por su diseño es compatible tanto anal como vaginalmente (aunque después de su uso anal es necesario limpiarlo antes de introducirlo en cualquier otro orificio de nuestro cuerpo). La punta, más gruesa, potencia esa sensación única de la primera penetración en un momento de juego. Las estrías, bien lubricadas, añaden a la lista nuevas caricias y sensaciones.¿Quieres más? El vidrio es un material termoconductor, así que puedes escoger la temperatura de tu juguete. Prueba a sumergirlo en agua caliente o a dejarlo un rato en el congelador... ¡Es la gran magia de esta gama de juguetes! Y encima son hipoalergénicos, muy fáciles de limpiar y completamente seguros.* Disponile solo en color transparente."
167,INFINITO,anilla doble de silicona ultra esponjosa,"¿Todavía no te has rendido a las bondades de las anillas para pene?Pues tenemos una propuesta inigualable: déjate embaucar por nuestra anilla doble INFINITO para sentir un pene más grueso, con una erección más potente y duradera.¿Cómo es esto posible? La anilla situada en la base del pene sujeta y retiene parcialmente la sangre que, de manera natural, se acumula en tu miembro cuando estás teniendo una erección, por lo que esta se mantiene y dura más tiempo.Por otro lado, la anilla situada en los testículos evitará que se suban en el momento de la eyaculación, por lo que este momento se retrasará.¿Te parece poco? Pues prepárate para lo mejor porque además las anillas sensibilizan todas las zonas anilladas. ¿Quién da más?"
168,STRISCE,Minivestido de rejilla a rayas de amantis,"En nuestra lencería de amantis siempre hay una gran dosis de sensualidad y juego. Y por supuesto, este minivestido es especialmente descarado y sexy.Se trata de una única pieza super elástica, fácil de poner, fácil de quitar y fácil de mantener pícaramente puesta mientras dure toda la maratón.De suave rejilla, dibujada íntegramente a rayas y con escote cuadrado.Sorprende a tu pareja y llévalo puesto debajo de tu ropa habitual. Fusiona e intégralo con tus prendas de calle, de forma cómoda y convirtiéndolo en un super outfit.En definitiva, siéntete traviesa y lujuriosa ¡a cualquier día y a cualquier hora!"
169,MINI+ de amantis,minimasajeador sumergible con 5 cabezales,"Por fin el clásico mini masajeador que ha dado tantas alegrías por el mundo pero con 5 cabezales intercambiables y... de amantis.Pequeño, pero taaan maravilloso. Su potencia es sobresaliente y su frecuencia de vibración es una de las que más satisfacciones ha provocado en la historia de los juguetes eróticos, así de rotundo es este mini+. Mini+ no puede faltar en tu cajón, en tu bolso o en tu equipaje de mano, su forma es discreta y su tacto rígido, y aunque su potencia va de la mano de su sonoridad, lo único que vas a oír pasado un rato es tu propio cuerpo dándote las gracias por hacerle sentir en la gloria. Sus 5 cabezales te permiten variar el contacto y las sensaciones desde una lisa curva hasta multiples microestimuladores, un abanico de posibilidades para que encuentres la que más te gusta."
170,RABBIT CLASSIC,doble estimulación,"Un nuevo conejito en tu jardín amantis...Ideal para iniciarse en la doble estimulación punto G + clítoris, tiene un tamaño justo, pero tan bien diseñado para acariciar todos los puntos de estimulación en tu interior y alrededores. Déjate guiar por este simpático conejito al país de las maravillas… Fabricado en un suave, blandito y seguro material (sin olores y bueno con tu body), su forma tiene diferentes puntos y estrías para gozar al entrar y llorar al salir, su cabecita gira hacia un lado y hacia al otro para explorarte por dentro, mientras su estimulador de clítoris palpita en tu... ¿pepita?  5 formas de rotar en dos direcciones, 5 velocidades constantes y ritmos para tu clítoris. Gózalo hasta decir ¡basta!"
171,CLIN_CLIN,cadenita metálica ajustable para pezones de amantis,"Una cadenita simple pero que aporta a los sentidos brillos, luces, sonidos y movimientos muy especiales, casi inolvidables. CLIN CLIN... Haz que la cadenita se mueva, siéntelo una y otra vez acariciando tu pecho. Ahh y por supuesto, es totalmente unisex, si tienes pezones, puedes llevar tu cadenita metálica. Su sencillo sistema de ajuste lo hacen aún más atractivo, no necesita tuerquitas, simplemente acercando el arito a su extremo sentirás más presión en tus ya de por sí, sensibles pezones. Si eres amante de la belleza, si eres un/a esteta apasionado/a, no pueden faltar unas cadenitas en tu ajuar amántico. ¿No crees?Dimensiones: 40cmCajita de regalo incluida."
173,LABRADORA,arnés estilizante y elegante,"¿Preparada para ser una perra y sacarte a pasear tú solita? Ahora eres tú la que tiene el poder con este maravilloso arnés de polipiel, imitador del cuero, 100% vegano, compatible con dildos aptos para arnés de base ancha. Con él podrás sexplorar otros roles, otras posturas, otros movimientos que te harán sentir empoderada y sentir lo que es tomar las riendas de un bonito paseo: la penetración. El arnés LABRADORA tiene un diseño muy especial, su geometría estiliza y marca tu cintura. Es verdad que llevarás un pene colgando de ti, pero con este arnés tu feminidad queda completamente intacta. Es un arnés totalmente ajustable y muy resistente, cuenta con dos sujeciones a los lados de la cintura y otras dos en las tiras traseras para que se ajuste a todo tipo de cuerpos. El resultado es como si fuera una braguita ajustable de imitación piel que lleva incorporado un cinturón estéticamente fino y elegante. Este arnés no cuenta con anilla, a diferencia de muchos otros modelos, pero esto no lo hace menos compatible con dildos que cuente con base o ventosa como nuestra colección de dildos Avatar o nuestros Glups! o Lizo."
174,ARMOUR ALAS,Armadura sexual BDSM con alas,"Las prendas de la cultura BDSM han inundado los escenarios nocturnos y cotidianos, ya no nos extraña ver cuerpos adornados con ítems de esta práctica fetichista. En amantis queremos hacer que tengas al alcance un amplio catálogo para que esta cultura visual siga creciendo y llegue a más gente.ARMOUR ALAS es una armadura sexual de pecho y hombros de cuero vegano, botones de metal y anillas. Su estética nos lleva al mundo animal por su fácil comparación con un murciélago; su color negro y sus alas picudas en nuestros hombros.Se cruza en tu escote y en tu espalda, y ambos cruces cuentan con dos anillas de metal de las cuales salen cuatro tiras de cuero vegano. Tanto por delante como por detrás, las tiras se enganchan a través de hebillas a las mangas de murciélago. Vamos, toda una fantasía de alto vuelo.El material del que está hecho es cuero vegano; un tipo piel sintética que imita al cuero, pero que no está testado con animales. Todas las tiras cuentan con botones de metal con los que podrás ajustar esta armadura a las dimensiones de tu cuerpo.Este modelo no es una única pieza si no que está dividido en dos. Una de ellas es la sujeción cruzada de la espalda que está unida a las mangas de murciélago. Estas mangas a su vez tampoco son fijas, sino que tienen sistemas de sujeción con hebillas adaptables a diferentes tamaños de bíceps.La segunda pieza de la que se compone ARMOUR ALAS es la sujeción cruzada delantera, que viene por separado, lo cual hace que podamos adaptar esta pieza a diferentes tipos de cuerpos o incluso curiosear otras maneras de lucirlo.Recuerda que puedes usar este complemento sólo como elemento decorativo y que si lo usas para juegos de dominación y sumisión, es importante tener en cuenta el principio fundamental del BDSM, el SCCP (sexo seguro, sensato, consensuado y placentero) y no olvideis tener una palabra de seguridad que nos ayude a entender si algún límite está siendo sobrepasado."
176,MiNube Boy TORNADO,cápsula masturbadora de envoltura mullida,"Siéntete como en una nube con los nuevos MiNube Boy de amantis. Su textura blandita te hará derretirte de placer y su interior… ¡ay, su interior!, está pensado para atormentar las partes más sensibles de tu cuerpo.MiNube Boy TORNADO es el más mullido de la gama y ofrece una envoltura uniforme, intensificando las formas de presión manual con sus nubecitas internas y la sensación de velocidad en las maniobras de giro, subida y bajada.Su material súper flexible se adapta a cualquier tamaño. Un sobre de Desliz!Eco es perfecto para lubricar bien este trocito de cielo. Humedece su interior antes de usarla y, si quieres darle un poco más de juego, lávala bien con agua tibia y Limpín, y guarda tu MiNube bien seca hasta su próximo uso. Cuidándola con un poco de mimo tu cápsula de placer te durará más de 10 usos.Muévelos de arriba a abajo, en círculos, masajeando con distintas presiones de tus dedos… Las opciones para descubrir nuevas sensaciones están al alcance de tu mano. Cada diseño exterior favorece diversas experiencias de agarre, densidad y reparto en las tensiones. Cada texturizado interno ofrece distintos matices de sensación en función del tipo de masaje, retienen la lubricación y mantienen la temperatura interna. ¿Ya has probado todos los MiNube Boy?"
177,BASIC,varita vibradora para descubrir tu punto G y P,"Hay juguetes especiales por su tamaño, por su material o por su forma. Dependiendo de la zona que queramos explorar o las sensaciones que queramos provocar elegiremos uno u otro. En amantis queremos que tengas toda la información para que puedas hacerte con el que necesitas en cada momento.En amantis tenemos juguetes esenciales, clásicos que nos acompañan desde hace décadas. Gracias a todo este tiempo que llevamos ofreciendo jugueteria erótica, sabemos cuáles no dejan nunca de gustar aunque siga pasando el tiempo.BASIC es una varita exploradora de zonas G y próstatas con una vibración continua y regulable.  Gracias a su longitud llegará a sitios a dónde otros juguetes no llegan y gracias a su rigidez dirigirás tus movimientos exactamente en la zona que quieres que sea estimulada y masajeada con fuerza.  Es un juguete sencillo, versátil, eficaz hecho de silicona médica y biocompatible. Al final del mismo encontraremos una esfera ligeramente inclinada que aportará precisión y rotundidad en los puntos erógenos, tanto zonas g’s como próstatas. Y todo esto sin apenas activar la dilatación pues estamos ante un juguete bastante fino en cuánto a diámetro se refiere. Por supuesto, también podremos usarlo de manera externa en otras partes de cuerpo, como masajeador nos podrá hacer desaparecer nudos de nuestra espalda y aliviar más de una tensión de lumbares o cervicales"
179,Columpio sexual de amantis,el asistente postural definitivo,"¿Recuerdas tus juegos de infancia? La rayuela, la comba, el escondite inglés…pero sobre todo recuerda la libertad y la emoción que sentías al columpiarte cada vez más y más alto. Gozo absoluto ¿verdad? Pues ese recuerdo se quedará en nada cuando te enseñemos una nueva forma de divertirte con este original columpio pensado para ser usado como asistente postural. No te llevará más alto pero sí más cerca del paraíso.  Porque te permitirá realizar posturas que, hasta ahora, requerían de una fuerza sobrehumana de una manera cómoda y satisfactoria. Porque podrás sentir la penetración como si en gravedad 0 te encontrases, y será más profunda y excitante. Porque le podrás dar el ángulo y la altura que necesites y las diferencias de tamaño en la pareja dejarán de ser un problema. Porque desearéis volver a casa a sacarle todo el partido a vuestro nuevo juguete y experimentar como nunca el morbo y lo que es sentirse libre sin posturas agotadoras e incómodas. Este columpio dispone de tres diferentes correas acolchadas( para la parte media de la espalda/tronco, para las nalgas/muslos y las de las piernas), suaves y cómodas para que no hagan nada de daño en la piel de quien se suspende. Preocuparos solo de pasarlo bien. Dispone también de un perno roscado de ojal que te permitirá colgarlo en el marco de una puerta de madera o en una viga/vigueta del techo de una habitación. El punto del que se fije deberá poder aguantar un peso de hasta 160 kg. Atrévete a disfrutar de esta experiencia única que mezcla el placer de probar tus posturas preferidas suspendida en el aire con la dominación y el fetiche. Estás a un “click” de uno de los juguetes eróticos más excitantes y divertidos del mercado."
180,VÏVVE,Masturbador masculino succionador y vibrador,"Os traemos un masturbador masculino de lo más completo, encontrarás en VÏVVE todo lo que andabas buscando reunido en un solo juguete para penes.VÏVVE es una manga masturbadora transparente con diferentes estimulaciones internas, de una textura muy blandita y en la que verás que con un buen lubricante encontrarás mucha jugosidad. Las diferentes protuberancias masajeadoras con estructuras estimulantes te harán experimentar sensaciones con las que se te quedarán los ojos en blanco. La textura es aterciopelada y suave parecida a la piel real, algo que nos ayudará a tener un mayor control eyaculatorio al simular un tacto parecido al real.La manga masturbadora se encuentra dentro de un tubo que nos regala otro tipo de estimulaciones extra; vibración y succión. En la base del tubo encontramos una bala vibradora cuyas 9 intensidades vibratorias podremos sentir a lo largo de toda la manga. Además de vibración, la sensación de succión en el pene es muy placentera, y con tan solo apretar uno de los botones el motor aspirará el aire que queda en tubo haciendo que manga apriete el tronco del pene.VÏVVE cuenta con un asistente postural, es decir, un accesorio con ventosa y diferentes tipos de ajustes para elegir el ángulo que queramos. Al tener ventosas, VÏVVE nos servirá para poder utilizar este juguete sin necesidad de utilizar las manos. Esto será especialmente útil para personas con diversidad funcional o movilidad reducida. También el hecho de no usar las manos y tener que implicar otras partes del cuerpo hará que tengamos sensaciones más intensas físicamente y similares a lo que sentimos en una relación sexual que implica a otra persona.Una gran novedad es que VÏVVE ofrece una simulación auditiva para una mayor inmersión intensificando así nuestras sensaciones masturbatorias y alimentando nuestra imaginación. Tiene un conector de audio análogico en dónde podrás conectar unos auriculares, que por cierto, ¡vienen incluidos!"
181,Pro Anal GROSSO,el vibrador anal de silicona,"Por fin llega a amantis Pro ANAL GROSSO, el hermano mayor de nuestro éxito de ventas pro ANAL 2, especialmente diseñados para dar placer donde la espalda pierde su nombre. Deja a tu vista y a tu tacto recrearse con este juguete de suave e higiénica silicona de grado médico mientras le aplicas lubricante antes de tu sesión amatoria: una anilla en su mango para que sea fácil de manejar, un cuerpo recto, y una punta redondeada y ligeramente curvada hacia arriba, para que los movimientos de tu mano acompañen a pro ANAL GROSSO hasta elevarte al séptimo cielo… o a donde tú quieras, porque con su bloqueo para viajes no tendrás que preocuparte de que empiece a funcionar en tu maleta.Y ahí no acaba la cosa: Pro anal GROSSO tiene dos motores, uno en su punta redondeada y otro en su cuerpo, para que tu anatomía entera no deje de temblar de placer mientras lo sumerges en tu lado oscuro.Sus 10 modos de vibración harán que tu cuerpo baile a la sintonía del orgasmo, que será muy fácil de alcanzar gracias a sus botones de fácil manejo (un botón para aumentar la intensidad, otro para bajarla, y el del medio para cambiar el patrón).Si ya has conocido a su hermano pequeño no podrás resistirte a él. ¿Vienes a por él o te lo llevamos a casa?"
182,LATTE,el plug anal regordete de cristal de amantis,"Llega a amantis la joya anal más chic: un plug de proporciones medidas, de cristal exquisito y de tonalidades de elegante sobriedad. Combina la finura y gran abanico de posibilidades que da el cristal con las mil opciones para jugar que ofrecen los plugs anales.¿Qué significa tener un plug de cristal? Si nunca has probado un plug de cristal, te vamos a contar porqué deberías probarlo:Visualmente, esta pieza preciosa interactúa con la luz, ofreciendo todo un espectáculo óptico de destellos luminosos de colores. Sus vetas en azul y amarillo generan un color terroso que nos recuerda a los mejores cafés con muuucha leche. ¿Te lo imaginas llevándotelo a una cálida tarde junto al fuego? ¿O exponiéndolo en una sala bien iluminada ante tus acólitos compañerxs de juego?El peso es otro elemento de juego muy a tener en cuenta en la família de los plugs: los plugs de metal y de cristal, son apreciados por ello. Latte cuenta con 145 gramos que, pueden parecerte un reto, pero todos esos gramos juntos generarán nuevas sensaciones en tus prácticas masturbatorias y juegos en pareja. Aplica todo el peso del dildo en tu ano, y manipula el plug cuidadosamente en los recovecos de tus partes traseras. ¿Notas ya la carga del placer?Su tacto, completamente ultra-liso, favorece la penetración, con o sin lubricante. Aunque te recomendamos que no olvides, para un mayor experiencia, tu lubricante anal.La forma de Latte es ideal para principiantes: es un plug pequeñito, de solo 7 cm de largo insertable y acabado en punta, para facilitar la entrada a cualquier cuerpo. Y con una base más ancha, tope de seguridad necesario para una práctica anal fiable.Y lo más importante: el cristal es un material sólido y muy estable, que permite que no tengas que reponer tu juguete preferido al cabo de los años. Por lo tanto es sostenible y ecológico. Pero además, permite cambios de temperatura sin riesgo alguno: puedes ponerlo en el congelador o sumergirlo en agua caliente el tiempo suficiente para alcanzar la temperatura deseada del juguete, y por ende, de tu cuerpo. ¿Te imaginas como es una práctica anal hot o frozen?"
183,SUMISE Esposas suaves inmovilizadoras de muñeca,,"En cuanto las tienes en tu mano piensas: Qué suaves! Son una auténtica monada! Así que ve preparando el terreno, no podrás evitar ajustártelas inmediatamente. Los amarres son de tela muy resistente pero con una textura interna de peluche súper gustosa. Se ajustan firmemente a las muñecas gracias a una hebilla de ajuste por tensión y se unen entre sí a través de dos pequeños mosquetones y una robusta cadenita. De color rosa, negro o rojo pasión. Un juguete perfecto para regalar, si por ejemplo quieres introducir a tu amante en el mundo del BDSM de una forma suave y tierna pero efectiva. La textura acolchada en su interior también es perfecta para no dejar marcas y no asustar a nadie. Cuando se las ponga, ya no se las querrá quitar.Prepárate para sorprender con SUMISE"
184,INTENSSE HOT RABBIT,Vibrador estriado,"¿Cómo te mimas en la intimidad? Tener orgasmos explosivos e intensos libera endorfinas y nos ayuda a relajar tensiones acumuladas del día a día. Y cuando decimos orgasmo intensos y expansivos nos referimos a una estimulación completa de tus genitales. Para ello existen vibradores muy bien diseñados que podrán conseguir que vueles por los aires.INTENSE HOT RABBIT es uno de ellos, es un clásico mejorado, mantiene las formas de modelos anteriores pero esta vez no escatima en tamaño ni en potencia. Es un vibrador con doble estimulación y función calorcito. La parte correspondiente a la estimulación externa tiene terminación de dos orejitas de conejito cuya forma nos ayudará a focalizar el placer en puntos muy concretos no solo de nuestro clítoris, si no de todas los recovecos de nuestra vulva.La parte con forma fálica está recubierta con unas maravillosas estrías que harán que tu conducto vaginal sea masajeado favoreciendo la conciencia del mismo. La parte con la que nos estimulamos interiormente nos ofrece una curvatura y una flexibilidad que permitirán una mayor adaptabilidad a cada cuerpo, así como una forma ahuevada en la punta que favorecerá la estimulación de PUNTO G. Este juguete tiene un solo motor, por lo que has de saber que tanto la parte de fuera como la de dentro funcionan de manera simultánea, es decir que vibran a la vez y cambian tanto de intensidad como de programa al mismo tiempo. INTENSE HOT RABBIT es un dildo que tiene función calor alcanzando hasta los 38 ºC y recuerda que el calor es un activador de la excitación, ¡prueba a restregarlo por todo tu cuerpo!Cómo se utiliza el vibrador estriado INTENSE HOT RABBITTe sugerimos que comiences explorando todas tus zonas erógenas para poder activar el circuito de la excitación. Zonas como los muslos internos o los pezones pueden ayudar a preparar tu cuerpo para la tormenta que se viene.Con la parte del dildo puedes empezar haciendo círculos en la entrada de tu vagina para que aumente progresiva y lentamente tu deseo. Una vez hayas entrado en un estado de excitación puedes utilizar las estrías como guía para entender que la penetración es más disfrutable si no la hacemos de golpe y dejamos que nuestro cuerpo nos pida más y más.Aunque tengas el dildo completamente dentro de ti, puedes esperar para activar las velocidades del conejito y esperar a que la sensibilidad de tu clítoris haya entrado en calor. ¡Para eso activa la función calor y a derretirse con nuestro amigo!Te recomendamos siempre usar uno de nuestros lubricantes a base de agua como Desliz! para favorecer la penetración y aumentar el placer.No olvides limpiar antes y después de usarlo con agua tibia y un jabón neutro, o un jabón bactericida como Limpín. Sécalo bien antes de guardarlo y mantenlo alejado de otros juguetes, por ejemplo en una de nuestras bolsas de satén."
186,ZUMBA,Vibrador vaiven vaginal,"El nuevo vibrador de AMANTIS de doble estimulación se llama ZUMBA, y es tan completo que no querrás separarte de él.Por un lado, tenemos a su brazo pequeño con una potente vibración que estimulará tu clítoris o perineo con sus 9 patrones diferentes… Por otro lado, el más grande se moverá dentro y fuera de tu interior, jugando con tu punto G, hipnotizándolo con sus 9 patrones de movimiento de arriba abajo… ¡uff!Y por si esto fuera poco, ZUMBA también posee función calor en la punta (ligeramente estriada para aumentar sensaciones), para que te calientes siempre que lo veas.                                             Por si crees que no serás capaz de soportar tanto a la vez te informamos de que todas estas funciones pueden ser usadas independientemente, pero créenos si te decimos que en este caso más es… ¡más! ¿Sientes tu cuerpo preparado para el juguete que estimulará tus rincones más recóndidos?¡Móntate en el ZUMBA y disfruta de un interminable viaje de placer!"
187,OHLALÁ SISMIC,body de infarto,"¡Oh, la, la! sería como: ¡Dios mío! y en amantis lo traducimos a ¡Diosa mía! Si tu cuerpo es un lienzo, Ohlala será la artista que dibuja un patrón geométrico de líneas horizontales que subirán el volumen de tu pecho y de tus caderas. Este dibujo se pegará a tu piel como si de un tatuaje se tratara manteniendo la apertura en la zona de tus genitales para que sea tu amante quién tatue ahí orgasmos imborrables. ¿Preparada para ser tú la que digas Oh, la, lá?"
188,ADA,Vagina translúcida extra suave de amantis,"La fantasía es una facultad humana para reproducir imágenes de cosas lejanas, a veces irreales. Desde que empezó la literatura, la fantasía es algo que nos ha cautivado, por eso se ha extendido a los comics, al cine y a los videojuegos. Ahora toca meter la fantasía en la cama.ADA está recubierta de estrías en su interior que trasportará a tu pene a un mundo de sensaciones que te harán sentir que estás penetrando una vagina real. Encontrarás un anillo de placer que estrecha su vagina para estimular todavía más tu glande.Su forma está hecha para que puedas agarrarla con la mayor comodidad posible. Prueba distintas posturas para nuevas sensaciones, o incluso a sumergirla en agua tibia antes de tu sesión de goce para sentir todavía más placer.Pásate por nuestras tiendas o pídela desde la web, sabemos que te va a encantar."
189,SPIDER,body infalible con mangas de amantis,"Siembra enigma, sigilo y misterio cual espía con super poderes eróticos.Nuestro body Spider de amantis, está diseñado con una rejilla muy cerrada, casi opaca, que hace que quede a modo de jumpsuit, super pegadito al cuerpo pero comodísimo para que muestres tus movimientos infalibles de seducción, ya que es mega elástico…. Al mismo tiempo que generas ilusión óptica como si llevases un super arnés de pecho, cual armadura de batalla. Sin olvidar su estratégica abertura en la entrepierna.Este sofisticadísimo modelo Spider es tan super body que te dará un montón de versatilidad a la hora de combinarlo con infinitas prendas de armario.Llévate el misterio y la sensualidad encima con este diseño y lúcete poderosa e indestructible."
190,SÜABE,Flogger BDSM de pelo sintético vegano,"Todas las personas tenemos un lado instintivo y fieresco, ya que forma parte de nuestra naturaleza, y cuando sale nos hace sentir poder, placer y vitalidad. Nos potencian esa animalidad y deseamos siempre ir un poco más allá.La clave es encontrar con quién sentirse segura y a gusto para consentir prácticas que rozan el dolor como fuente de placer. Tienes ante ti un clásico en la práctica bdesemera, un flogger.En este caso estamos ante un flogger un poco especial, pues SÜABE es la bestia de los floggers, ya que está hecho de pelo sintético y se parece mucho a una cola de una bestia salvaje. SÜABE es un azotador que acaricia, es un flogger que azota de una manera suavizada y sensual, con el que podrás experimentar lo mejor de los contrastes.Gracias a su textura de pelos de una suavidad suprema y gustosa y su base un poco más dura podemos despertar muchas terminaciones nerviosas a la vez. SÜABE es una cola-flogger larga para poder llegar a muchos sitios desde posturas diferentes. Su empuñadura es de cuero sintético con un bonito trenzeado y una asa por dónde podremos meter nuestra muñeca para que no se nos escape. No olvides que no solo tiene función de látigo bondage, si no que SÜABE te sirve para hacer movimientos repetitivos verticales, horizontales, circulares y transversales. Recuerda que azotar es una práctica altamente excitante donde podremos focalizar, cosquilleando y acariciando, mientras jugamos con la incertidumbre de cuándo vendrá el azote.Aprended a miraros y deciros lo que os gusta para poder cumplir con el principio fundamental del BDSM, el SCCP (sexo seguro, sensato, consensuado y placentero) y no olvideis tener una palabra de seguridad que nos ayude a entender si algún límite está siendo sobrepasado."
192,Jaula de placer,funda para pene abierta by amantis,"Esta funda para pene estilo jaula no solo te ayudará a mantener tu erección por más tiempo, también texturizará tu miembro sin restarte sensibilidad.Sus cinco anillos están unidas por una fina capa de silicona de grado médico y rematadas por una sexta anilla, más grande que las anteriores, para que puedas fijar esta jaula a tu pene.Elástica y resistente esta funda está diseñada para aumentar tu sensibilidad y la de tu amante. ¿Te animas a probarla?"
193,MARATON MAN,arnés con dildo hueco de silicona de amantis,"Por fin un Pene hueco con arnés para poder prolongar tus sesiones amatorias hasta los 42 kilómetros o más allá. MARATON MAN es un revolucionario artilugio sexual para ayudarte a mejorar tu marca, sea cual sea.Son muchos los hombres que no consiguen una erección duradera, pero que quieren seguir participando activamente de sus relaciones sexuales con sus parejas y disfrutar de los momentos de intimidad y goce sin complicaciones, cirugías o pócimas milagrosas.En amantis llevábamos años ofreciendo soluciones a medias a todas esas personas, algunas eran muy grandes, otras eran muy rígidos, otras de materiales de mala calidad. Pero, por fin tenemos una joya en nuestras tiendas y queremos compartirla contigo. Bienvenido MARATON MAN, te estábamos esperando desde hace tiempo.MARATON MAN está pensado para todos aquellos hombres deseosos de dar placer, sin tregua y sin pausa a sus amantes. Dildos huecos en dos tamaños: mediano (13cm) y grande (16cm), diseñados en una suave y flexible silicona que te hará olvidar cualquier dildo hueco que hayas probado con anterioridad.Este arnés tiene importantes detalles a destacar:Dildo hueco, suave y flexible, con capacidad para alojar un pene con poca o ninguna erección.Primeros 6 cm en el modelo grande, y primeros 4 cm en el mediano, partiendo desde el glande, son rígidos para facilitar los juegos de penetración.Base para la pelvis amplia, suave y flexible siendo esta una prolongación del mismo dildo, diseño que ajusta este accesorio en perfecta sintonía con nuestra anatomía. Es más cómodo y fácil de usar. Además, incorpora una prolongación hueca inferior para acomodar los testículos. De este modo el dildo estará perfectamente ajustado a tu cuerpo, física y visualmente.El arnés es una tira elástica que se ajusta a cualquier talla y desmontable. Sí, sí, puedes quitarla para lo que quieras.Estamos muy felices de participar en esta carrera. MARATON MAN es un perfecto y claro ganador, sin tongos que valgan. ¡Aplausos y eurekas!Si deseas una experiencia más intensa echa un visazo a MARATON MAN intense con vibración."
